URN,Author,Work
,Achilles Tatius,Leucippe et Clitophon
,Aelian,De Natura Animalium
,Aelian,Epistulae Rusticae
,Aelian,Varia Historia
,Aelius Aristides,Ars Rhetorica
,Aelius Aristides,Orationes
,Aeschines,Speeches (Greek). Machine readable text
,Aeschylus,Agamemnon
,Aeschylus,Eumenides
,Aeschylus,Libation Bearers
,Aeschylus,Persians
,Aeschylus,Prometheus Bound
,Aeschylus,Seven Against Thebes
,Aeschylus,Suppliant Women
urn:cts:omar:stoa0023.stoa001:,Ammianus Marcellinus,Rerum Gestarum
,Anonymous,Laudes Domini
,Antiphon,Against the Stepmother for Poisoning
,Antiphon,First Tetralogy
,Antiphon,On the Choreutes
,Antiphon,On the Murder of Herodes
,Antiphon,Second Tetralogy
,Antiphon,Third Tetralogy
,Apollodorus,Epitome
,Apollodorus,Library
,Appian,The Civil Wars
,Appolonius,Argonautica
urn:cts:latinLit:phi1212.phi003:,Apuleius,Florida
urn:cts:latinLit:phi1212.phi002:,Apuleius,Metamorphoses
urn:cts:latinLit:phi1212.phi001:,Apulieus,Apologia
,Aristophanes,Acharnians
,Aristophanes,Birds
,Aristophanes,Clouds
,Aristophanes,Ecclesiazusae
,Aristophanes,Frogs
,Aristophanes,Knights
,Aristophanes,Lysistrata
,Aristophanes,Peace
,Aristophanes,Plutus
,Aristophanes,Thesmaphoriazusae
,Aristophanes,Wasps
,Aristotle,Constitution
,Aristotle,Economics
,Aristotle,Eudemian Ethics
,Aristotle,Metaphysics
,Aristotle,Nicomachean Ethics
,Aristotle,Poetics
,Aristotle,Politics
,Aristotle,Rhetoric
,Aristotle,Virtues and Vices
,Athenaeus,The Deipnosophists
urn:cts:latinLit:stoa0040.stoa0011:,Augustine,Epistulae. Selections
urn:cts:latinLit:stoa0045.stoa014:,Ausonius,Ausonii Burdigalensis Vasatis Gratiarum Actio Ad Grati Angratianum Imperatorem Pro Consulatu
urn:cts:latinLit:stoa0045.stoa002:,Ausonius,Ausonii de XII Caesaribus per Suetonium Tranquillum scriptis
urn:cts:latinLit:stoa0045.stoa003:,Ausonius,Cento Nuptialis
urn:cts:latinLit:stoa0045.stoa004:,Ausonius,Commemoratio professorum Burdigalensium
urn:cts:latinLit:stoa0045.stoa005:,Ausonius,Cupido cruciatur
urn:cts:latinLit:stoa0045.stoa001:,Ausonius,De Bissula
urn:cts:latinLit:stoa0045.stoa006:,Ausonius,De Herediolo
urn:cts:latinLit:stoa0045.stoa008:,Decimus Magnus Ausonius,Ephemeris
urn:cts:latinLit:stoa0045.stoa009:,Ausonius,Epicedion in Patrem
urn:cts:latinLit:stoa0045.stoa010:,Decimus Magnus Ausonius,Epigrammata Ausonii de diversis rebus
urn:cts:latinLit:stoa0045.stoa011:,Decimus Magnus Ausonius,Epistularum
urn:cts:latinLit:stoa0045.stoa012:,Decimus Magnus Ausonius,Epitaphia heroum qui bello Troico interfuerunt
urn:cts:latinLit:stoa0045.stoa017:,Decimus Magnus Ausonius,Fasti
urn:cts:latinLit:stoa0045.stoa015:,Ausonius,Griphus Ternarii numeri
urn:cts:latinLit:stoa0045.stoa018:,Decimus Magnus Ausonius,Ludus Septem Sapientum
urn:cts:latinLit:stoa0045.stoa019:,Ausonius,Mosella
urn:cts:latinLit:stoa0045.stoa020:,Ausonius,Oratio Consulis Ausonii Versibus Ropalicis
urn:cts:latinLit:stoa0045.stoa021:,Decimus Magnus Ausonius,Ordo Urbium Nobilium
urn:cts:latinLit:stoa0045.stoa022:,Decimus Magnus Ausonius,Parentalia
urn:cts:latinLit:stoa0045.stoa025:,Decimus Magnus Ausonius,Praefatiunculae
urn:cts:latinLit:stoa0045.stoa026:,Decimus Magnus Ausonius,Precationes
urn:cts:latinLit:stoa0045.stoa028:,Decimus Magnus Ausonius,Technopaegnion
,Barnabas,Barnabae Epistula
,Bede,Historiam ecclesiasticam gentis Anglorum
,Bion of Phlossa,Epitaphius Adonis
,Bion of Phlossa,Epithalamium Achillis et Deidameiae
urn:cts:latinLit:stoa0058.stoa001:,Boethius,Consolatio Philosophiae
,Boethius,De Fide Catholica
urn:cts:latinLit:stoa0058.stoa023:,Boethius,Liber De Persona et Duabus Naturis Contra Eutychen Et Nestorium
urn:cts:latinLit:stoa0058.stoa003:,Boethius,Quomodo Substantiae in Eo Quod Sint Bonae Sint Cum Non Sint Substanialia Bona
urn:cts:latinLit:stoa0058.stoa025:,Boethius,Quomodo Trinitas Unus Deus Ac Non Tres Dii (De Trinitate)
urn:cts:latinLit:stoa0058.stoa028:,Boethius,Utrum Pater Et Filius Ac Spiritus Sanctus De Divinitate Substantiali ter Praedicentur Liber
urn:cts:latinLit:phi1221.phi007:,Caesar Augustus,Res Gestae Divi Augusti
,Callistratus,Statuaram Descriptiones
urn:cts:latinLit:phi0472.phi001:,Catullus,Carmina
urn:cts:latinLit:phi0836.phi002:,Celsus,De Medicina
,Chariton,De Chaerea et Callirhoe
urn:cts:omar:phi0474.phi045:,Cicero,Academica
urn:cts:omar:phi0474.phi059:,Cicero,Brutus
urn:cts:latinLit:phi0474.phi018:,Cicero,Cum populo gratias egit
urn:cts:omar:phi0474.phi052:,Cicero,De Amicitia
urn:cts:omar:phi0474.phi053:,Cicero,De Divinatione
urn:cts:omar:phi0474.phi054:,Cicero,De Fato
urn:cts:omar:phi0474.phi048:,Cicero,De Finibus Bonorum et Malorum
urn:cts:omar:phi0474.phi036:,Cicero,De Inventione
urn:cts:omar:phi0474.phi055:,Cicero,De Officiis
urn:cts:omar:phi0474.phi041:,Cicero,De Optimo Genere Oratorum
urn:cts:omar:phi0474.phi037:,Cicero,De Oratore
urn:cts:latinLit:phi0474.phi038:,Cicero,De Partitione Oratore
urn:cts:latinLit:phi0474.phi043:,Cicero,De Republica
urn:cts:latinLit:phi0474.phi051:,Cicero,De Senectute
