URN,Text group or author,Title
urn:cts:greekLit:tlg4081.tlg001:,Colluthus,Rape of Helen
urn:cts:latinLit:phi1345.phi001:,Silius Italicus,Punica
urn:cts:latinLit:phi1056.phi001:,Vitruvius Pollio,On Architecture
urn:cts:latinLit:stoa0089.stoa001:,Claudius Claudianus,Carminum minorum corpusculum
urn:cts:latinLit:stoa0089.stoa010:,Claudius Claudianus,Panegyricus de tertio consulatu Honorii Augusti
urn:cts:latinLit:stoa0089.stoa011:,Claudius Claudianus,Panegyricus de quarto consulatu Honorii Augusti
urn:cts:latinLit:stoa0089.stoa012:,Claudius Claudianus,Panegyricus de sexto consulatu Honorii Augusti
urn:cts:latinLit:stoa0089.stoa004:,Claudius Claudianus,de consulatu Stilichonis
urn:cts:latinLit:stoa0089.stoa013:,Claudius Claudianus,Panegyricus dictus Manlio Theodoro consuli
urn:cts:latinLit:stoa0089.stoa005:,Claudius Claudianus,de raptu Proserpinae
urn:cts:latinLit:stoa0089.stoa014:,Claudius Claudianus,Panegyricus dictus Probino et Olybrio consulibus
urn:cts:latinLit:stoa0089.stoa002:,Claudius Claudianus,de bello Gildonico
urn:cts:latinLit:stoa0089.stoa003:,Claudius Claudianus,de Bello Gothico
urn:cts:latinLit:stoa0089.stoa008:,Claudius Claudianus,In Eutropium
urn:cts:latinLit:stoa0089.stoa009:,Claudius Claudianus,In Rufinum
urn:cts:latinLit:stoa0089.stoa006:,Claudius Claudianus,Epithalamium de nuptiis Honorii Augusti
urn:cts:greekLit:tlg0032.tlg010:,Pseudo-Xenophon (Old Oligarch),Constitution of the Lacedaimonians
urn:cts:greekLit:tlg0032.tlg013:,Pseudo-Xenophon (Old Oligarch),On the Art of Horsemanship
urn:cts:greekLit:tlg0032.tlg001:,Pseudo-Xenophon (Old Oligarch),Hellenica
urn:cts:greekLit:tlg0032.tlg014:,Pseudo-Xenophon (Old Oligarch),On Hunting
urn:cts:greekLit:tlg0032.tlg002:,Pseudo-Xenophon (Old Oligarch),Memorabilia
urn:cts:greekLit:tlg0032.tlg011:,Pseudo-Xenophon (Old Oligarch),Ways and Means
urn:cts:greekLit:tlg0032.tlg012:,Pseudo-Xenophon (Old Oligarch),On the Cavalry Commander
urn:cts:greekLit:tlg0032.tlg003:,Pseudo-Xenophon (Old Oligarch),Economics
urn:cts:greekLit:tlg0032.tlg004:,Pseudo-Xenophon (Old Oligarch),Symposium
urn:cts:greekLit:tlg0032.tlg005:,Pseudo-Xenophon (Old Oligarch),Apology
urn:cts:greekLit:tlg0032.tlg015:,Pseudo-Xenophon (Old Oligarch),Constitution of the Athenians
urn:cts:greekLit:tlg0032.tlg006:,Pseudo-Xenophon (Old Oligarch),Anabasis
urn:cts:greekLit:tlg0032.tlg007:,Pseudo-Xenophon (Old Oligarch),Cyropaedia
urn:cts:greekLit:tlg0032.tlg008:,Pseudo-Xenophon (Old Oligarch),Hiero
urn:cts:greekLit:tlg0032.tlg009:,Pseudo-Xenophon (Old Oligarch),Agesilaus
urn:cts:greekLit:tlg1799.tlg001:,Euclid,Elements
urn:cts:greekLit:tlg0031.tlg027:,New Testament,Revelation
urn:cts:greekLit:tlg0031.tlg026:,New Testament,Jude
urn:cts:greekLit:tlg0031.tlg001:,New Testament,Matthew
urn:cts:greekLit:tlg0031.tlg002:,New Testament,Mark
urn:cts:greekLit:tlg0031.tlg003:,New Testament,Luke
urn:cts:greekLit:tlg0031.tlg004:,New Testament,John
urn:cts:greekLit:tlg0031.tlg023:,New Testament,1 John
urn:cts:greekLit:tlg0031.tlg022:,New Testament,2 Peter
urn:cts:greekLit:tlg0031.tlg005:,New Testament,Acts
urn:cts:greekLit:tlg0031.tlg025:,New Testament,3 John
urn:cts:greekLit:tlg0031.tlg006:,New Testament,Romans
urn:cts:greekLit:tlg0031.tlg024:,New Testament,2 John
urn:cts:greekLit:tlg0031.tlg007:,New Testament,1 Corinthians
urn:cts:greekLit:tlg0031.tlg008:,New Testament,2 Corinthians
urn:cts:greekLit:tlg0031.tlg009:,New Testament,Galatians
urn:cts:greekLit:tlg0031.tlg021:,New Testament,1 Peter
urn:cts:greekLit:tlg0031.tlg020:,New Testament,James
urn:cts:greekLit:tlg0031.tlg010:,New Testament,Ephesians
urn:cts:greekLit:tlg0031.tlg013:,New Testament,1 Thessalonians
urn:cts:greekLit:tlg0031.tlg014:,New Testament,2 Thessalonians
urn:cts:greekLit:tlg0031.tlg011:,New Testament,Philippians
urn:cts:greekLit:tlg0031.tlg012:,New Testament,Colossians
urn:cts:greekLit:tlg0031.tlg017:,New Testament,Titus
urn:cts:greekLit:tlg0031.tlg018:,New Testament,Philemon
urn:cts:greekLit:tlg0031.tlg015:,New Testament,1 Timothy
urn:cts:greekLit:tlg0031.tlg016:,New Testament,2 Timothy
urn:cts:greekLit:tlg0031.tlg019:,New Testament,Hebrews
urn:cts:latinLit:phi1242.phi001:,Lucius Annaeus Florus,Epitome Rerum Romanorum
urn:cts:greekLit:tlg0030.tlg001:,Hyperides,In Defence of Lycophron
urn:cts:greekLit:tlg0030.tlg002:,Hyperides,Against Philippides
urn:cts:greekLit:tlg0030.tlg003:,Hyperides,Against Athenogenes
urn:cts:greekLit:tlg0030.tlg004:,Hyperides,In Defence of Euxenippus
urn:cts:greekLit:tlg0030.tlg005:,Hyperides,Against Demosthenes
urn:cts:greekLit:tlg0030.tlg006:,Hyperides,Funeral Oration
urn:cts:greekLit:tlg0036.tlg001:,Bion of Phlossa,Epitaphius Adonis
urn:cts:greekLit:tlg0036.tlg002:,Bion of Phlossa,Epithalamium Achillis et Deidameiae
