Author	Work	e-Source	Print Source	Added by
Achilles Tatius	Leucippe et Clitophon	Perseus	Rudolf Hercher, Erotici Scriptores Graeci, Vol 1. Leipzig: in aedibus B. G. Teubneri, 1858.	Emilie Redwood
Aelian	De Natura Animalium	Perseus	Rudolf Hercher, Claudii Aeliani de natura animalium libri xvii, varia historia, epistolae, fragmenta, Vol 1. Lipsiae: In Aedibus B.G. Teubneri, 1864.	Emilie Redwood
Aelian	Epistulae Rusticae	Perseus	Rudolf Hercher, Claudii Aeliani de natura animalium libri xvii, varia historia, epistolae, fragmenta, Vol 2. Lipsiae: In Aedibus B.G. Teubneri, 1866.	Emilie Redwood
Aelian	Varia Historia	Perseus	Rudolf Hercher, Claudii Aeliani de natura animalium libri xvii, varia historia, epistolae, fragmenta, Vol 2. Lipsiae: In Aedibus B.G. Teubneri, 1866.	Emilie Redwood
Aelius Aristides	Ars Rhetorica	Perseus	Aristides, Aelius. Rhetores Graeci, Vol 2. ex recognitione Leonardi Spengel. Leonhard von Spengel. Leipzig. Teubner. 1854.	Rudra Chakraborty
Aelius Aristides	Orationes	Perseus	Aristides, Aelius. Aristides. ex recensione Guilielmi Dindorfii. Leipzig. Weidmann. 1829. 1-2.	Rudra Chakraborty
Aeschines	Speeches (Greek). Machine readable text	Perseus	Aeschines with an English translation by Charles Darwin Adams, Ph.D..Cambridge, MA, Harvard University Press; London, William Heinemann Ltd., 1919.	Elizabeth Hunter
Aeschylus	Agamemnon	Perseus	Herbert Weir Smyth, Ph.D., Aeschylus, with an English translation by Herbert Weir Smyth, Ph. D. in two volumes.. Cambridge: Cambridge, Mass., Harvard University Press; London, William Heinemann, Ltd., 1926.	Anna Glenn
Aeschylus	Eumenides	Perseus	Herbert Weir Smyth, Ph.D., Aeschylus, with an English translation by Herbert Weir Smyth, Ph. D. in two volumes.. Cambridge: Cambridge, Mass., Harvard University Press; London, William Heinemann, Ltd., 1926.	Anna Glenn
Aeschylus	Libation Bearers	Perseus	Herbert Weir Smyth, Ph.D., Aeschylus, with an English translation by Herbert Weir Smyth, Ph. D. in two volumes. . Cambridge: Cambridge, Mass., Harvard University Press; London, William Heinemann, Ltd., 1926.	Anna Glenn
Aeschylus	Persians	Perseus	Herbert Weir Smyth, Ph.D., Aeschylus, with an English translation by Herbert Weir Smyth, Ph. D. in two volumes.. Cambridge: Cambridge, Mass., Harvard University Press; London, William Heinemann, Ltd., 1926.	Anna Glenn
Aeschylus	Prometheus Bound	Perseus	Herbert Weir Smyth, Ph.D., Aeschylus, with an English translation by Herbert Weir Smyth, Ph. D. in two volumes.. Cambridge: Cambridge, Mass., Harvard University Press; London, William Heinemann, Ltd., 1926.	Anna Glenn
Aeschylus	Seven Against Thebes	Perseus	Herbert Weir Smyth, Ph.D., Aeschylus, with an English translation by Herbert Weir Smyth, Ph. D. in two volumes.. Cambridge: Cambridge, Mass., Harvard University Press; London, William Heinemann, Ltd., 1926.	Anna Glenn
Aeschylus	Suppliant Women	Perseus	Herbert Weir Smyth, Ph.D., Aeschylus, with an English translation by Herbert Weir Smyth, Ph. D. in two volumes.. Cambridge: Cambridge, Mass., Harvard University Press; London, William Heinemann, Ltd., 1926.	Anna Glenn
Ammianus Marcellinus	Rerum Gestarum	Perseus	Ammianus Marcellinus. With An English Translation. John C. Rolfe, PhD, Litt.D. Cambridge. Cambridge, Mass., Harvard University Press; London, William Heinemann, Ltd. 1935-1940.	Katherine Roache
Anonymous	Laudes Domini	Divus Angelus	Pieter Van Der Weijden, ed. Laudes domini: Tekst, vertaling en commentaar. Amsterdam: H. J. Paris, 1967.	Vincent Hunink
Antiphon	Against the Stepmother for Poisoning	Perseus	Maidment, K. J., ed. Minor Attic Orators. Cambridge: Harvard UP, 1941.	Katherine Roache
Antiphon	First Tetralogy	Perseus	Maidment, K. J., ed. Minor Attic Orators. Cambridge: Harvard UP, 1941.	Katherine Roache
Antiphon	On the Choreutes	Perseus	Maidment, K. J., ed. Minor Attic Orators. Cambridge: Harvard UP, 1941.	Katherine Roache
Antiphon	On the Murder of Herodes	Perseus	Maidment, K. J., ed. Minor Attic Orators. Cambridge: Harvard UP, 1941.	Katherine Roache
Antiphon	Second Tetralogy	Perseus	Maidment, K. J., ed. Minor Attic Orators. Cambridge: Harvard UP, 1941.	Katherine Roache
Antiphon	Third Tetralogy	Perseus	Maidment, K. J., ed. Minor Attic Orators. Cambridge: Harvard UP, 1941.	Katherine Roache
Apollodorus	Epitome	Perseus	Apollodorus. Apollodorus, The Library, with an English Translation by Sir James George Frazer, F.B.A., F.R.S. in 2 Volumes. Cambridge, MA, Harvard University Press; London, William Heinemann Ltd. 1921.	Katherine Roache
