urn	citationScheme	groupName	workTitle	versionLabel	examplarLabel	online
urn:cts:latinLit:phi1038.phi001.omar:	book/chapter/section	Valerius Maximus	Factorum Et Dictorum Memorabilium	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi1351.phi001.omar:	chapter/section	Tacitus	Agricola	FLAG edition based on version in Tesserae corpus		true
urn:cts:omar:phi1351.phi002.omar:	chapter/section	Tacitus	Germania	FLAG edition based on version in Tesserae corpus		true
urn:cts:omar:phi1351.phi003.omar:	chapter/section	Tacitus	Dialogus de Oratoribus	FLAG edition based on version in Tesserae corpus		true
urn:cts:omar:phi1351.phi004.omar:	book/chapter	Tacitus	Historiae	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi1351.phi005.omar:	book/chapter	Tacitus	Annales	FLAG edition based on version in Tesserae corpus		true
urn:cts:omar:phi0914.phi001.omar:	book/chapter/section	Livy	Ab urbe condita	Tesserae editon		true
urn:cts:omar:phi0631.phi001.omar:	chapter/section	Sallust	Catilina	FLAG edition based on version in Tesserae corpus		true
urn:cts:omar:phi0631.phi002.omar:	chapter/section	Sallust	Iugurtha	FLAG edition based on version in Tesserae corpus		true
urn:cts:omar:phi0448.phi001.omar:	book/chapter/section	Julius Caesar	De Bello Gallico	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi1221.phi007.omar:	section	Caesar Augustus	Res Gestae	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:stoa0023.stoa001.omar:	book/chapter/section	Ammianus Marcellinus	Res Gestae	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi1348.phi001.omar:	life/chapter/section	Suetonius	De Vita Caesarum	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0588.phi001.omar:	life/chapter/section	Nepos	Vitae	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi057.omar:	letter/section	M. Tullius Cicero	Epistulae Ad Atticum	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi052.omar:	section	M. Tullius Cicero	De Amicitia	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi018.omar:	section	M. Tullius Cicero	Cum populo gratias egit	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi054.omar:	section	M. Tullius Cicero	De fato	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi048.omar:	chapter/section	M. Tullius Cicero	De Finibus Bonorum et Malorum	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi036.omar:	chapter/section	M. Tullius Cicero	De Inventione	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi053.omar:	chapter/section	M. Tullius Cicero	De Divinatione	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi055.omar:	chapter/section	M. Tullius Cicero	De Officiis	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi037.omar:	chapter/section	M. Tullius Cicero	De Oratore	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi020.omar:	section	M. Tullius Cicero	De domo sua	FLAG edition based on version in Tesserae corpus		true
urn:cts:latinLit:phi0474.phi021.omar:	section	M. Tullius Cicero	De haruspicum responso	FLAG edition based on version in Tesserae corpus		true
