urn:cts:latinLit:phi0893.phi005:1.1.1	Prima dicte mihi, summa dicende Camena,
urn:cts:latinLit:phi0893.phi005:1.1.2	spectatum satis et donatum iam rude quaeris,
urn:cts:latinLit:phi0893.phi005:1.1.3	Maecenas, iterum antiquo me includere ludo.
urn:cts:latinLit:phi0893.phi005:1.1.4	non eadem est aetas, non mens. Veianius armis
urn:cts:latinLit:phi0893.phi005:1.1.5	Herculis ad postem fixis latet abditus agro,
urn:cts:latinLit:phi0893.phi005:1.1.6	ne populum extrema totiens exoret harena,
urn:cts:latinLit:phi0893.phi005:1.1.7	est mihi purgatam crebro qui personet aurem:
urn:cts:latinLit:phi0893.phi005:1.1.8	"solve senescentem mature sanus equum, ne
urn:cts:latinLit:phi0893.phi005:1.1.9	peccet ad extremum ridendus et ilia ducat."
urn:cts:latinLit:phi0893.phi005:1.1.10	Nunc itaque et versus et cetera ludicra pono;
urn:cts:latinLit:phi0893.phi005:1.1.11	quid verum atque decens curo et rogo et omnis in hoc sum;
urn:cts:latinLit:phi0893.phi005:1.1.12	condo et compono quae mox depromere possim.
urn:cts:latinLit:phi0893.phi005:1.1.13	ac ne forte roges, quo me duce, quo lare tuter:
urn:cts:latinLit:phi0893.phi005:1.1.14	nullius addictus iurare in verba magistri,
urn:cts:latinLit:phi0893.phi005:1.1.15	quo me cumque rapit tempestas, deferor hospes.
urn:cts:latinLit:phi0893.phi005:1.1.16	nunc agilis fio et mersor civilibus undis,
urn:cts:latinLit:phi0893.phi005:1.1.17	virtutis verae custos rigidusque satelles;
urn:cts:latinLit:phi0893.phi005:1.1.18	nunc in Aristippi furtim praecepta relabor
urn:cts:latinLit:phi0893.phi005:1.1.19	et mihi res, non me rebus, subiungere conor.
urn:cts:latinLit:phi0893.phi005:1.1.20	Ut nox longa quibus mentitur amica, diesque
urn:cts:latinLit:phi0893.phi005:1.1.21	longa videtur opus debentibus, ut piger annus
urn:cts:latinLit:phi0893.phi005:1.1.22	pupillis, quos dura premit custodia matrum;
urn:cts:latinLit:phi0893.phi005:1.1.23	sic mihi tarda fluunt ingrataque tempora, quae spem
urn:cts:latinLit:phi0893.phi005:1.1.24	consiliumque morantur agendi naviter id quod
urn:cts:latinLit:phi0893.phi005:1.1.25	aeque pauperibus prodest, locupletibus aeque,
urn:cts:latinLit:phi0893.phi005:1.1.26	aeque neglectum pueris senibusque nocebit,
urn:cts:latinLit:phi0893.phi005:1.1.27	restat ut his ego me ipse regam solerque elementis,
urn:cts:latinLit:phi0893.phi005:1.1.28	non possis oculo quantum contendere Lynceus,
urn:cts:latinLit:phi0893.phi005:1.1.29	non tamen idcirco contemnas lippus inungui;
urn:cts:latinLit:phi0893.phi005:1.1.30	nec quia desperes invicti membra Glyconis,
urn:cts:latinLit:phi0893.phi005:1.1.31	nodosa corpus nolis prohibere cheragra.
urn:cts:latinLit:phi0893.phi005:1.1.32	est quadam prodire tenus, si non datur ultra.
urn:cts:latinLit:phi0893.phi005:1.1.33	Fervet avaritia miseroque cupidine pectus:
urn:cts:latinLit:phi0893.phi005:1.1.34	sunt verba et voces, quibus hunc lenire dolorem
urn:cts:latinLit:phi0893.phi005:1.1.35	possis et magnam morbi deponere partem.
urn:cts:latinLit:phi0893.phi005:1.1.36	laudis amore tumes; sunt certa piacula, quae te
urn:cts:latinLit:phi0893.phi005:1.1.37	ter pure lecto poterunt recreare libello.
urn:cts:latinLit:phi0893.phi005:1.1.38	invidus, iracundus, iners, vinosus, amator,
urn:cts:latinLit:phi0893.phi005:1.1.39	nemo adeo ferus est, ut non mitescere possit,
urn:cts:latinLit:phi0893.phi005:1.1.40	si modo culturae patientem commodet aurem.
urn:cts:latinLit:phi0893.phi005:1.1.41	Virtus est vitium fugere et sapientia prima
urn:cts:latinLit:phi0893.phi005:1.1.42	stultitia caruisse, vides, quae maxima credis
urn:cts:latinLit:phi0893.phi005:1.1.43	esse mala, exiguum censum turpemque repulsam,
urn:cts:latinLit:phi0893.phi005:1.1.44	quanto devites animi capitisque labore;
urn:cts:latinLit:phi0893.phi005:1.1.45	impiger extremos curris mercator ad Indos,
urn:cts:latinLit:phi0893.phi005:1.1.46	per mare pauperiem fugiens, per saxa, per ignis:
urn:cts:latinLit:phi0893.phi005:1.1.47	ne cures-ea, quae stulte miraris et optas,
urn:cts:latinLit:phi0893.phi005:1.1.48	discere et audire et meliori credere non vis?
urn:cts:latinLit:phi0893.phi005:1.1.49	quis circum pagos et circum compita pugnax
urn:cts:latinLit:phi0893.phi005:1.1.50	magna coronari contemnat Olympia, cui spes,
urn:cts:latinLit:phi0893.phi005:1.1.51	cui sit condicio dulcis sine pulvere palmae?
urn:cts:latinLit:phi0893.phi005:1.1.52	Vilius argentum est auro, virtutibus aurum.
urn:cts:latinLit:phi0893.phi005:1.1.53	"o cives, cives, quaerenda pecunia primum est;
urn:cts:latinLit:phi0893.phi005:1.1.54	virtus post nummos!" haec Ianus summus ab imo
urn:cts:latinLit:phi0893.phi005:1.1.55	prodocet, haec recinunt iuvenes dictata senesque,
urn:cts:latinLit:phi0893.phi005:1.1.56	laevo suspensi loculos tabulamque lacerto.
urn:cts:latinLit:phi0893.phi005:1.1.57	est animus tibi, sunt mores, est lingua fidesque,
