urn:cts:latinLit:phi0893.phi0011.1.1	Maecenas atavis edite regibus,
urn:cts:latinLit:phi0893.phi0011.1.2	o et praesidium et dulce decus meum:
urn:cts:latinLit:phi0893.phi0011.1.3	sunt quos curriculo pulverem Olympicum
urn:cts:latinLit:phi0893.phi0011.1.4	collegisse iuvat metaque fervidis
urn:cts:latinLit:phi0893.phi0011.1.5	evitata rotis palmaque nobilis.
urn:cts:latinLit:phi0893.phi0011.1.6	terrarum dominos evehit ad deos
urn:cts:latinLit:phi0893.phi0011.1.7	hunc, si mobilium turba Quiritium
urn:cts:latinLit:phi0893.phi0011.1.8	certat tergeminis tollere honoribus,
urn:cts:latinLit:phi0893.phi0011.1.9	illum, si proprio condidit horreo
urn:cts:latinLit:phi0893.phi0011.1.10	quidquid de Libycis verritur areis.
urn:cts:latinLit:phi0893.phi0011.1.11	gaudentem patrios findere sarculo
urn:cts:latinLit:phi0893.phi0011.1.12	agros Attalicis condicionibus
urn:cts:latinLit:phi0893.phi0011.1.13	numquam demoveas, ut trabe Cypria
urn:cts:latinLit:phi0893.phi0011.1.14	Myrtoum pavidus nauta secet mare.
urn:cts:latinLit:phi0893.phi0011.1.15	luctantem Icariis fluctibus Africum
urn:cts:latinLit:phi0893.phi0011.1.16	mercator metuens otium et oppidi
urn:cts:latinLit:phi0893.phi0011.1.17	laudat rura sui; mox reficit rates
urn:cts:latinLit:phi0893.phi0011.1.18	quassas indocilis pauperiem pati.
urn:cts:latinLit:phi0893.phi0011.1.19	est qui nec veteris pocula Massici
urn:cts:latinLit:phi0893.phi0011.1.20	nec partem solido demere de die
urn:cts:latinLit:phi0893.phi0011.1.21	spernit, nunc viridi membra sub arbuto
urn:cts:latinLit:phi0893.phi0011.1.22	stratus, nunc ad aquae lene caput sacrae.
urn:cts:latinLit:phi0893.phi0011.1.23	multos castra iuvant et lituo tubae
urn:cts:latinLit:phi0893.phi0011.1.24	permixtus sonitus bellaque matribus
urn:cts:latinLit:phi0893.phi0011.1.25	detestata. manet sub Iove frigido
urn:cts:latinLit:phi0893.phi0011.1.26	venator tenerae coniugis inmemor,
urn:cts:latinLit:phi0893.phi0011.1.27	seu visa est catulis cerva fidelibus
urn:cts:latinLit:phi0893.phi0011.1.28	seu rupit teretes Marsus aper plagas.
urn:cts:latinLit:phi0893.phi0011.1.29	me doctarum hederae praemia frontium
urn:cts:latinLit:phi0893.phi0011.1.30	dis miscent superis, me gelidum nemus
urn:cts:latinLit:phi0893.phi0011.1.31	Nympharumque leves cum Satyris chori
urn:cts:latinLit:phi0893.phi0011.1.32	secernunt populo, si neque tibias
urn:cts:latinLit:phi0893.phi0011.1.33	Euterpe cohibet nec Polyhymnia
urn:cts:latinLit:phi0893.phi0011.1.34	Lesboum refugit tendere barbiton.
urn:cts:latinLit:phi0893.phi0011.1.35	quodsi me lyricis vatibus inseres,
urn:cts:latinLit:phi0893.phi0011.1.36	sublimi feriam sidera vertice.

urn:cts:latinLit:phi0893.phi0011.2.1	Iam satis terris nivis atque dirae
urn:cts:latinLit:phi0893.phi0011.2.2	grandinis misit pater et rubente
urn:cts:latinLit:phi0893.phi0011.2.3	dextera sacras iaculatus arcis
urn:cts:latinLit:phi0893.phi0011.2.4	terruit urbem,
urn:cts:latinLit:phi0893.phi0011.2.5	terruit gentis, grave ne rediret
urn:cts:latinLit:phi0893.phi0011.2.6	saeculum Pyrrhae nova monstra questae,
urn:cts:latinLit:phi0893.phi0011.2.7	omne cum Proteus pecus egit altos
urn:cts:latinLit:phi0893.phi0011.2.8	visere montis,
