urn:cts:latinLit:phi0893.phi003:1.1	Ibis Liburnis inter alta navium,
urn:cts:latinLit:phi0893.phi003:1.2	amice, propugnacula,
urn:cts:latinLit:phi0893.phi003:1.3	paratus omne Caesaris periculum
urn:cts:latinLit:phi0893.phi003:1.4	subire, Maecenas, tuo:
urn:cts:latinLit:phi0893.phi003:1.5	quid nos, quibus te vita sit superstite
urn:cts:latinLit:phi0893.phi003:1.6	iucunda, si contra, gravis?
urn:cts:latinLit:phi0893.phi003:1.7	utrumne iussi persequemur otium
urn:cts:latinLit:phi0893.phi003:1.8	non dulce, ni tecum simul,
urn:cts:latinLit:phi0893.phi003:1.9	an hunc laborem mente laturi, decet
urn:cts:latinLit:phi0893.phi003:1.10	qua ferre non mollis viros?
urn:cts:latinLit:phi0893.phi003:1.11	feremus et te vel per Alpium iuga
urn:cts:latinLit:phi0893.phi003:1.12	inhospitalem et Caucasum
urn:cts:latinLit:phi0893.phi003:1.13	vel occidentis usque ad ultimum sinum
urn:cts:latinLit:phi0893.phi003:1.14	forti sequemur pectore.
urn:cts:latinLit:phi0893.phi003:1.15	roges, tuom labore quid iuvem meo,
urn:cts:latinLit:phi0893.phi003:1.16	inbellis ac firmus parum?
urn:cts:latinLit:phi0893.phi003:1.17	comes minore sum futurus in metu,
urn:cts:latinLit:phi0893.phi003:1.18	qui maior absentis habet:
urn:cts:latinLit:phi0893.phi003:1.19	ut adsidens inplumibus pullis avis
urn:cts:latinLit:phi0893.phi003:1.20	serpentium adlapsus timet
urn:cts:latinLit:phi0893.phi003:1.21	magis relictis, non, ut adsit, auxili
urn:cts:latinLit:phi0893.phi003:1.22	latura plus praesentibus.
urn:cts:latinLit:phi0893.phi003:1.23	libenter hoc et omne militabitur
urn:cts:latinLit:phi0893.phi003:1.24	bellum in tuae spem gratiae,
urn:cts:latinLit:phi0893.phi003:1.25	non ut iuvencis inligata pluribus
urn:cts:latinLit:phi0893.phi003:1.26	aratra nitantur meis
urn:cts:latinLit:phi0893.phi003:1.27	pecusve Calabris ante Sidus fervidum
urn:cts:latinLit:phi0893.phi003:1.28	Lucana mutet pascuis
urn:cts:latinLit:phi0893.phi003:1.29	neque ut superni villa candens Tusculi
urn:cts:latinLit:phi0893.phi003:1.30	Circaea tangat moenia:
urn:cts:latinLit:phi0893.phi003:1.31	satis superque me benignitas tua
urn:cts:latinLit:phi0893.phi003:1.32	ditavit, haud paravero
urn:cts:latinLit:phi0893.phi003:1.33	quod aut avarus ut Chremes terra premam,
urn:cts:latinLit:phi0893.phi003:1.34	discinctus aut perdam nepos.

