
urn:cts:latinLit:phi0893.phi004:1.1.1	Qui fit, Maecenas, ut nemo, quam sibi sortem
urn:cts:latinLit:phi0893.phi004:1.1.2	seu Ratio dederit seu Fors obiecerit, illa
urn:cts:latinLit:phi0893.phi004:1.1.3	contentus vivat, laudet diversa sequentis?
urn:cts:latinLit:phi0893.phi004:1.1.4	'o fortunati mercatores' gravis annis
urn:cts:latinLit:phi0893.phi004:1.1.5	miles ait, multo iam fractus membra labore.
urn:cts:latinLit:phi0893.phi004:1.1.6	contra mercator navim iactantibus Austris,
urn:cts:latinLit:phi0893.phi004:1.1.7	'militia est potior. quid enim? concurritur: horae
urn:cts:latinLit:phi0893.phi004:1.1.8	momento cita mors venit aut victoria laeta.'
urn:cts:latinLit:phi0893.phi004:1.1.9	agricolam laudat iuris legumque peritus,
urn:cts:latinLit:phi0893.phi004:1.1.10	sub galli cantum consultor ubi ostia pulsat;
urn:cts:latinLit:phi0893.phi004:1.1.11	ille, datis vadibus qui rure extractus in urbem est,
urn:cts:latinLit:phi0893.phi004:1.1.12	solos felicis viventis clamat in urbe.
urn:cts:latinLit:phi0893.phi004:1.1.13	cetera de genere hoc (adeo sunt multa) loquacem
urn:cts:latinLit:phi0893.phi004:1.1.14	delassare valent Fabium. ne te morer, audi,
urn:cts:latinLit:phi0893.phi004:1.1.15	quo rem deducam. si quis Deus 'en ego' dicat
urn:cts:latinLit:phi0893.phi004:1.1.16	'iam faciam quod voltis: eris tu, qui modo miles,
urn:cts:latinLit:phi0893.phi004:1.1.17	mercator; tu, consultus modo, rusticus: hinc vos,
urn:cts:latinLit:phi0893.phi004:1.1.18	vos hinc mutatis discedite partibus. eia,
urn:cts:latinLit:phi0893.phi004:1.1.19	quid statis?' nolint. atqui licet esse beatis.
urn:cts:latinLit:phi0893.phi004:1.1.20	quid causae est, merito quin illis Iuppiter ambas
urn:cts:latinLit:phi0893.phi004:1.1.21	iratus buccas inflet neque se fore posthac
urn:cts:latinLit:phi0893.phi004:1.1.22	tam facilem dicat, votis ut praebeat aurem?
urn:cts:latinLit:phi0893.phi004:1.1.23	praeterea, ne sic ut qui iocularia ridens
urn:cts:latinLit:phi0893.phi004:1.1.24	percurram — quamquam ridentem dicere verum
urn:cts:latinLit:phi0893.phi004:1.1.25	quid vetat? ut pueris olim dant crustula blandi
urn:cts:latinLit:phi0893.phi004:1.1.26	doctores, elementa velint ut discere prima —
urn:cts:latinLit:phi0893.phi004:1.1.27	sed tamen amoto quaeramus seria ludo:
urn:cts:latinLit:phi0893.phi004:1.1.28	ille gravem duro terram qui vertit aratro,
urn:cts:latinLit:phi0893.phi004:1.1.29	perfidus hic caupo, miles nautaeque, per omne
urn:cts:latinLit:phi0893.phi004:1.1.30	audaces mare qui currunt, hac mente laborem
urn:cts:latinLit:phi0893.phi004:1.1.31	sese ferre, senes ut in otia tuta recedant,
urn:cts:latinLit:phi0893.phi004:1.1.32	aiunt, cum sibi sint congesta cibaria: sicut
urn:cts:latinLit:phi0893.phi004:1.1.33	parvola—nam exemplo est—magni formica laboris
urn:cts:latinLit:phi0893.phi004:1.1.34	ore trahit quodcumque potest atque addit acervo
urn:cts:latinLit:phi0893.phi004:1.1.35	quem struit, haud ignara ac non incauta futuri.
urn:cts:latinLit:phi0893.phi004:1.1.36	quae, simul inversum contristat Aquarius annum,
urn:cts:latinLit:phi0893.phi004:1.1.37	non usquam prorepit et illis utitur ante
urn:cts:latinLit:phi0893.phi004:1.1.38	quaesitis sapiens, cum te neque fervidus aestus
urn:cts:latinLit:phi0893.phi004:1.1.39	demoveat lucro neque hiems, ignis mare ferrum,
