urn:cts:latinLit:phi1276.phi001:1.1	Semper ego auditor tantum? numquamne reponam
urn:cts:latinLit:phi1276.phi001:1.2	vexatus totiens rauci Theseide Cordi?
urn:cts:latinLit:phi1276.phi001:1.3	inpune ergo mihi recitaverit ille togatas,
urn:cts:latinLit:phi1276.phi001:1.4	hic elegos? inpune diem consumpserit ingens
urn:cts:latinLit:phi1276.phi001:1.5	Telephus aut summi plena iam margine libri
urn:cts:latinLit:phi1276.phi001:1.6	scriptus et in tergo necdum finitus Orestes?
urn:cts:latinLit:phi1276.phi001:1.7	nota magis nulli domus est sua quam mihi lucus
urn:cts:latinLit:phi1276.phi001:1.8	Martis et Aeoliis vicinum rupibus antrum
urn:cts:latinLit:phi1276.phi001:1.9	Vulcani. Quid agant venti, quas torqueat umbras
urn:cts:latinLit:phi1276.phi001:1.10	Aeacus, unde alius furtivae devehat aurum
urn:cts:latinLit:phi1276.phi001:1.11	pelliculae, quantas iaculetur Monychus ornos,
urn:cts:latinLit:phi1276.phi001:1.12	Frontonis platani convulsaque marmora clamant
urn:cts:latinLit:phi1276.phi001:1.13	semper et adsiduo ruptae lectore columnae:
urn:cts:latinLit:phi1276.phi001:1.14	expectes eadem a summo minimoque poeta,
urn:cts:latinLit:phi1276.phi001:1.15	et nos ergo manum ferulae subduximus, et nos
urn:cts:latinLit:phi1276.phi001:1.16	consilium dedimus Sullae, privatus ut altum
urn:cts:latinLit:phi1276.phi001:1.17	dormiret; stulta est clementia, cum tot ubique
urn:cts:latinLit:phi1276.phi001:1.18	vatibus occurras, periturae parcere chartae.
urn:cts:latinLit:phi1276.phi001:1.19	cur tamen hoc potius libeat decurrere campo
urn:cts:latinLit:phi1276.phi001:1.20	per quem magnus equos Auruncae flexit alumnus,
urn:cts:latinLit:phi1276.phi001:1.21	si vacat ac placidi rationem admittitis, edam.
urn:cts:latinLit:phi1276.phi001:1.22	Cum tener uxorem ducat spado, Mevia Tuscum
urn:cts:latinLit:phi1276.phi001:1.23	figat aprum et nuda teneat venabula mamma,
urn:cts:latinLit:phi1276.phi001:1.24	patricios omnis opibus cum provocet unus
urn:cts:latinLit:phi1276.phi001:1.25	quo tondente gravis iuveni mihi barba sonabat,
urn:cts:latinLit:phi1276.phi001:1.26	cum pars Niliacae plebis, cum verna Canopi
urn:cts:latinLit:phi1276.phi001:1.27	Crispinus Tyrias umero revocante lacernas
urn:cts:latinLit:phi1276.phi001:1.28	ventilet aestivum digitis sudantibus aurum,
urn:cts:latinLit:phi1276.phi001:1.29	nec sufferre queat maioris pondera gemmae,
urn:cts:latinLit:phi1276.phi001:1.30	difficile est saturam non scribere, nam quis iniquae
urn:cts:latinLit:phi1276.phi001:1.31	tam patiens urbis, tam ferreus, ut teneat se,
urn:cts:latinLit:phi1276.phi001:1.32	causidici nova cum veniat lectica Mathonis
urn:cts:latinLit:phi1276.phi001:1.33	plena ipso, post hunc magni delator amici
urn:cts:latinLit:phi1276.phi001:1.34	et cito rapturus de nobilitate comesa
urn:cts:latinLit:phi1276.phi001:1.35	quod superest, quem Massa timet, quem munere palpat
urn:cts:latinLit:phi1276.phi001:1.36	Carus et a trepido Thymele summissa Latino?
urn:cts:latinLit:phi1276.phi001:1.37	cum te summoveant qui testamenta merentur
urn:cts:latinLit:phi1276.phi001:1.38	noctibus, in caelum quos evenit optima summi
urn:cts:latinLit:phi1276.phi001:1.39	nunc via processus, vetulae vesica beatae?
urn:cts:latinLit:phi1276.phi001:1.40	unciolam Proculeius habet, sed Gillo deuncem,
urn:cts:latinLit:phi1276.phi001:1.41	partes quisque suas ad mensuram inguinis heres,
urn:cts:latinLit:phi1276.phi001:1.42	accipiat sane mercedem sanguinis, et sic
urn:cts:latinLit:phi1276.phi001:1.43	palleat ut nudis pressit qui calcibus anguem
urn:cts:latinLit:phi1276.phi001:1.44	aut Lugudunensem rhetor dicturus ad aram.
urn:cts:latinLit:phi1276.phi001:1.45	Quid referam quanta siccum iecur ardeat ira,
urn:cts:latinLit:phi1276.phi001:1.46	cum populum gregibus comitum premit hic spoliator
urn:cts:latinLit:phi1276.phi001:1.47	pupilli prostantis et hic damnatus inani
urn:cts:latinLit:phi1276.phi001:1.48	iudicio? quid enim salvis infamia nummis?
urn:cts:latinLit:phi1276.phi001:1.49	exul ab octava Marius bibit et fruitur dis
urn:cts:latinLit:phi1276.phi001:1.50	iratis, at tu victrix provincia ploras.
urn:cts:latinLit:phi1276.phi001:1.51	Haec ego non credam Venusina digna lucerna?
urn:cts:latinLit:phi1276.phi001:1.52	haec ego non agitem? sed quid magis Heracleas
urn:cts:latinLit:phi1276.phi001:1.53	aut Diomedeas aut mugitum labyrinthi
urn:cts:latinLit:phi1276.phi001:1.54	et mare percussum puero fabrumque volantem,
urn:cts:latinLit:phi1276.phi001:1.55	cum leno accipiat moechi bona, si capiendi
urn:cts:latinLit:phi1276.phi001:1.56	ius nullum uxori, doctus spectare lacunar,
urn:cts:latinLit:phi1276.phi001:1.57	doctus et ad calicem vigilanti stertere naso?
urn:cts:latinLit:phi1276.phi001:1.58	cum fas esse putet curam sperare cohortis
urn:cts:latinLit:phi1276.phi001:1.59	qui bona donavit praesepibus et caret omni
urn:cts:latinLit:phi1276.phi001:1.60	maiorum censu, dum pervolat axe citato
urn:cts:latinLit:phi1276.phi001:1.61	Flaminiam puer Automedon? nam lora tenebat
urn:cts:latinLit:phi1276.phi001:1.62	ipse, lacernatae cum se iactaret amicae.
urn:cts:latinLit:phi1276.phi001:1.63	Nonne libet medio ceras inplere capaces
urn:cts:latinLit:phi1276.phi001:1.64	quadrivio, cum iam sexta cervice feratur
urn:cts:latinLit:phi1276.phi001:1.65	hinc atque inde patens ac nuda paene cathedra
urn:cts:latinLit:phi1276.phi001:1.66	et multum referens de Maecenate supino
urn:cts:latinLit:phi1276.phi001:1.67	signator falsi, qui se lautum atque beatum
urn:cts:latinLit:phi1276.phi001:1.68	exiguis tabulis et gemma fecerit uda?
urn:cts:latinLit:phi1276.phi001:1.69	Occurrit matrona potens, quae molle Calenum
urn:cts:latinLit:phi1276.phi001:1.70	porrectura viro miscet sitiente rubetam
urn:cts:latinLit:phi1276.phi001:1.71	instituitque rudes melior Lucusta propinquas
urn:cts:latinLit:phi1276.phi001:1.72	per famam et populum nigros efferre maritos,
urn:cts:latinLit:phi1276.phi001:1.73	aude aliquid brevibus Gyaris et carcere dignum,
urn:cts:latinLit:phi1276.phi001:1.74	si vis esse aliquid; probitas laudatur et alget.
urn:cts:latinLit:phi1276.phi001:1.75	criminibus debent hortos praetoria mensas,
urn:cts:latinLit:phi1276.phi001:1.76	argentum vetus et stantem extra pocula caprum,
urn:cts:latinLit:phi1276.phi001:1.77	quem patitur dormire nurus corruptor avarae,
urn:cts:latinLit:phi1276.phi001:1.78	quem sponsae turpes et praetextatus adulter?
urn:cts:latinLit:phi1276.phi001:1.79	si natura negat, facit indignatio versum
urn:cts:latinLit:phi1276.phi001:1.80	qualemcumque potest, quales ego vel Cluvienus.
urn:cts:latinLit:phi1276.phi001:1.81	Ex quo Deucalion nimbis tollentibus aequor
urn:cts:latinLit:phi1276.phi001:1.82	navigio montem ascendit sortesque poposcit,
