urn:cts:latinLit:phi0959.phi003:1	Discite quae faciem commendet cura, puellae,
urn:cts:latinLit:phi0959.phi003:2	Et quo sit vobis forma tuenda modo.
urn:cts:latinLit:phi0959.phi003:3	Cultus humum sterilem Cerealia pendere iussit
urn:cts:latinLit:phi0959.phi003:4	Munera, mordaces interiere rubi.
urn:cts:latinLit:phi0959.phi003:5	Cultus et in pomis sucos emendat acerbos,
urn:cts:latinLit:phi0959.phi003:6	Fissaque adoptivas accipit arbor opes.
urn:cts:latinLit:phi0959.phi003:7	Culta placent. auro sublimia tecta linuntur,
urn:cts:latinLit:phi0959.phi003:8	Nigra sub imposito marmore terra latet:
urn:cts:latinLit:phi0959.phi003:9	Vellera saepe eadem Tyrio medicantur ano:
urn:cts:latinLit:phi0959.phi003:10	Sectile deliciis India praebet ebur.
urn:cts:latinLit:phi0959.phi003:11	Forsitan antiquae Tatio sub rege Sabinae
urn:cts:latinLit:phi0959.phi003:12	Maluerint, quam se, rura paterna coli:
urn:cts:latinLit:phi0959.phi003:13	Cum matrona, premens altum rubicunda sedile,
urn:cts:latinLit:phi0959.phi003:14	Assiduum duro pollice nebat opus,
urn:cts:latinLit:phi0959.phi003:15	Ipsaque claudebat quos filia paverat agnos,
urn:cts:latinLit:phi0959.phi003:16	Ipsa dabat virgas caesaque ligna foco.
urn:cts:latinLit:phi0959.phi003:17	At vestrae matres teneras peperere puellas.
urn:cts:latinLit:phi0959.phi003:18	Vultis inaurata corpora veste tegi,
urn:cts:latinLit:phi0959.phi003:19	Vultis odoratos positu variare capillos,
urn:cts:latinLit:phi0959.phi003:20	Conspicuam gemmis vultis habere manum:
urn:cts:latinLit:phi0959.phi003:21	Induitis collo lapides oriente petitos,
urn:cts:latinLit:phi0959.phi003:22	Et quantos onus est aure tulisse duos.
urn:cts:latinLit:phi0959.phi003:23	Nec tamen indignum: sit vobis cura placendi,
urn:cts:latinLit:phi0959.phi003:24	Cum comptos habeant saecula nostra viros.
urn:cts:latinLit:phi0959.phi003:25	Feminea vestri poliuntur lege mariti,
urn:cts:latinLit:phi0959.phi003:26	Et vix ad cultus nupta, quod addat, habet.
urn:cts:latinLit:phi0959.phi003:27	Se sibi quaeque parant, nec quos venentur amores
urn:cts:latinLit:phi0959.phi003:28	Refert; munditia crimina nulla merent.
urn:cts:latinLit:phi0959.phi003:29	Rure latent finguntque comas; licet arduus illas
urn:cts:latinLit:phi0959.phi003:30	Celet Athos, cultas altus habebit Athos.
urn:cts:latinLit:phi0959.phi003:31	Est etiam placuisse sibi cuicumque voluptas;
urn:cts:latinLit:phi0959.phi003:32	Virginibus cordi grataque forma sua est.
urn:cts:latinLit:phi0959.phi003:33	Laudatas homini volucris Iunonia pennas
urn:cts:latinLit:phi0959.phi003:34	Explicat, et forma multa superbit avis.
urn:cts:latinLit:phi0959.phi003:35	Sic potius vos urget amor quam fortibus herbis,
urn:cts:latinLit:phi0959.phi003:36	Quas maga terribili subsecat arte manus.
urn:cts:latinLit:phi0959.phi003:37	Nec vos graminibus nec mixto credite suco,
urn:cts:latinLit:phi0959.phi003:38	Nec temptate nocens virus amantis equae;
urn:cts:latinLit:phi0959.phi003:39	Nec mediae Marsis finduntur cantibus angues,
urn:cts:latinLit:phi0959.phi003:40	Nec redit in fontes unda supina suos;
urn:cts:latinLit:phi0959.phi003:41	Et quamvis aliquis Temesaea removerit aera,
urn:cts:latinLit:phi0959.phi003:42	Numquam Luna suis excutietur equis.
urn:cts:latinLit:phi0959.phi003:43	Prima sit in vobis morum tutela, puellae.
urn:cts:latinLit:phi0959.phi003:44	Ingenio facies conciliante placet.
urn:cts:latinLit:phi0959.phi003:45	Certus amor morum est: formam populabitur aetas,
urn:cts:latinLit:phi0959.phi003:46	Et placitus rugis vultus aratus erit.
urn:cts:latinLit:phi0959.phi003:47	Tempus erit, quo vos speculum vidisse pigebit,
urn:cts:latinLit:phi0959.phi003:48	Et veniet rugis altera causa dolor.
urn:cts:latinLit:phi0959.phi003:49	Sufficit et longum probitas perdurat in aevum,
urn:cts:latinLit:phi0959.phi003:50	Perque suos annos hinc bene pendet amor.
urn:cts:latinLit:phi0959.phi003:51	Dic age, cum teneros somnus dimiserit artus,
urn:cts:latinLit:phi0959.phi003:52	Candida quo possint ora nitere modo.
urn:cts:latinLit:phi0959.phi003:53	Hordea, quae Libyci ratibus misere coloni,
urn:cts:latinLit:phi0959.phi003:54	Exue de palea tegminibusque suis.
urn:cts:latinLit:phi0959.phi003:55	Par ervi mensura decem madefiat ab ovis:
urn:cts:latinLit:phi0959.phi003:56	Sed cumulent libras hordea nuda duas.
urn:cts:latinLit:phi0959.phi003:57	Haec ubi ventosas fuerint siccata per auras,
urn:cts:latinLit:phi0959.phi003:58	Lenta iube scabra frangat asella mola:
urn:cts:latinLit:phi0959.phi003:59	Et quae prima cadent vivaci cornua cervo,
urn:cts:latinLit:phi0959.phi003:60	Contere in haec (solidi sexta fac assis eat).
urn:cts:latinLit:phi0959.phi003:61	Iamque ubi pulvereae fuerint confusa farinae,
urn:cts:latinLit:phi0959.phi003:62	Protinus in cumeris omnia cerne cavis.
urn:cts:latinLit:phi0959.phi003:63	Adice narcissi bis sex sine cortice bulbos,
urn:cts:latinLit:phi0959.phi003:64	Strenua quos puro marmore dextra terat.
urn:cts:latinLit:phi0959.phi003:65	Sextantemque trahat gummi cum semine Tusco:
urn:cts:latinLit:phi0959.phi003:66	Huc novies tanto plus tibi mellis eat.
urn:cts:latinLit:phi0959.phi003:67	Quaecumque afficiet tali medicamine vultum
urn:cts:latinLit:phi0959.phi003:68	Fulgebit speculo levior ipsa suo.
urn:cts:latinLit:phi0959.phi003:69	Nec tu pallentes dubita torrere lupinos,
urn:cts:latinLit:phi0959.phi003:70	Et simul inflantes corpora frige fabas;
urn:cts:latinLit:phi0959.phi003:71	Utraque sex habeant aequo discrimine libras,
urn:cts:latinLit:phi0959.phi003:72	Utraque da nigris comminuenda molis.
urn:cts:latinLit:phi0959.phi003:73	Nec cerussa tibi nec nitri spuma rubentis
urn:cts:latinLit:phi0959.phi003:74	Desit et Illyrica quae venit iris humo.
