urn:cts:latinLit:phi0690.phi001:1.1	Tityre, tu patulae recubans sub tegmine fagi
urn:cts:latinLit:phi0690.phi001:1.2	silvestrem tenui Musam meditaris avena;
urn:cts:latinLit:phi0690.phi001:1.3	nos patriae fines et dulcia linquimus arva:
urn:cts:latinLit:phi0690.phi001:1.4	nos patriam fugimus; tu, Tityre, lentus in umbra
urn:cts:latinLit:phi0690.phi001:1.5	formosam resonare doces Amaryllida silvas.
urn:cts:latinLit:phi0690.phi001:1.6	O Meliboee, deus nobis haec otia fecit:
urn:cts:latinLit:phi0690.phi001:1.7	namque erit ille mihi semper deus; illius aram
urn:cts:latinLit:phi0690.phi001:1.8	saepe tener nostris ab ovilibus imbuet agnus.
urn:cts:latinLit:phi0690.phi001:1.9	Ille meas errare boves, ut cernis, et ipsum
urn:cts:latinLit:phi0690.phi001:1.10	ludere, quae vellem, calamo permisit agresti
urn:cts:latinLit:phi0690.phi001:1.11	Non equidem invideo; miror magis: undique totis
urn:cts:latinLit:phi0690.phi001:1.12	usque adeo turbatur agris. En, ipse capellas
urn:cts:latinLit:phi0690.phi001:1.13	protinus aeger ago; hanc etiam vix, Tityre, duco:
urn:cts:latinLit:phi0690.phi001:1.14	hic inter densas corylos modo namque gemellos,
urn:cts:latinLit:phi0690.phi001:1.15	spem gregis, ah, silice in nuda conixa reliquit.
urn:cts:latinLit:phi0690.phi001:1.16	Saepe malum hoc nobis, si mens non laeva fuisset,
urn:cts:latinLit:phi0690.phi001:1.17	de caelo tactas memini praedicere quercus:—
urn:cts:latinLit:phi0690.phi001:1.19	Sed tamen, iste deus qui sit, da, Tityre, nobis.
urn:cts:latinLit:phi0690.phi001:1.20	Urbem, quam dicunt Romam, Meliboee, putavi
urn:cts:latinLit:phi0690.phi001:1.21	stultus ego huic nostrae similem, quo saepe solemus
urn:cts:latinLit:phi0690.phi001:1.22	pastores ovium teneros depellere fetus:
urn:cts:latinLit:phi0690.phi001:1.23	sic canibus catulos similis, sic matribus haedos
urn:cts:latinLit:phi0690.phi001:1.24	noram, sic parvis componere magna solebam:
urn:cts:latinLit:phi0690.phi001:1.25	verum haec tantum alias inter caput extulit urbes,
urn:cts:latinLit:phi0690.phi001:1.26	quantum lenta solent inter viburna cupressi.
urn:cts:latinLit:phi0690.phi001:1.27	Et quae tanta fuit Romam tibi causa videndi?
urn:cts:latinLit:phi0690.phi001:1.28	Libertas; quae sera, tamen respexit inertem,
urn:cts:latinLit:phi0690.phi001:1.29	candidior postquam tondenti barba cadebat;
urn:cts:latinLit:phi0690.phi001:1.30	respexit tamen, et longo post tempore venit,
urn:cts:latinLit:phi0690.phi001:1.31	postquam nos Amaryllis habet, Galatea reliquit:
urn:cts:latinLit:phi0690.phi001:1.32	namque, fatebor enim, dum me Galatea tenebat,
urn:cts:latinLit:phi0690.phi001:1.33	nec spes libertatis erat, nec cura peculi:
urn:cts:latinLit:phi0690.phi001:1.34	quamvis multa meis exiret victima saeptis,
urn:cts:latinLit:phi0690.phi001:1.35	pinguis et ingratae premeretur caseus urbi,
urn:cts:latinLit:phi0690.phi001:1.36	non umquam gravis aere domum mihi dextra redibat.
urn:cts:latinLit:phi0690.phi001:1.37	Mirabar, quid maesta deos, Amarylli, vocares,
urn:cts:latinLit:phi0690.phi001:1.38	cui pendere sua patereris in arbore poma:
urn:cts:latinLit:phi0690.phi001:1.39	Tityrus hinc aberat. Ipsae te, Tityre, pinus,
urn:cts:latinLit:phi0690.phi001:1.40	ipsi te fontes, ipsa haec arbusta vocabant.
urn:cts:latinLit:phi0690.phi001:1.41	Quid facerem? Neque servitio me exire licebat,
urn:cts:latinLit:phi0690.phi001:1.42	nec tam praesentis alibi cognoscere divos.
urn:cts:latinLit:phi0690.phi001:1.43	hic illum vidi iuvenem, Meliboee, quot annis
urn:cts:latinLit:phi0690.phi001:1.44	bis senos cui nostra dies altaria fumant;
urn:cts:latinLit:phi0690.phi001:1.45	hic mihi responsum primus dedit ille petenti:
urn:cts:latinLit:phi0690.phi001:1.46	“pascite, ut ante, boves, pueri, submittite tauros.”
urn:cts:latinLit:phi0690.phi001:1.47	Fortunate senex, ergo tua rura manebunt,
urn:cts:latinLit:phi0690.phi001:1.48	et tibi magna satis, quamvis lapis omnia nudus
urn:cts:latinLit:phi0690.phi001:1.49	limosoque palus obducat pascua iunco!
urn:cts:latinLit:phi0690.phi001:1.50	Non insueta gravis temptabunt pabula fetas,
urn:cts:latinLit:phi0690.phi001:1.51	nec mala vicini pecoris contagia laedent.
urn:cts:latinLit:phi0690.phi001:1.52	Fortunate senex, hic, inter flumina nota
urn:cts:latinLit:phi0690.phi001:1.53	et fontis sacros, frigus captabis opacum!
urn:cts:latinLit:phi0690.phi001:1.54	hinc tibi, quae semper, vicino ab limite, saepes
urn:cts:latinLit:phi0690.phi001:1.55	Hyblaeis apibus florem depasta salicti
urn:cts:latinLit:phi0690.phi001:1.56	saepe levi somnum suadebit inire susurro;
urn:cts:latinLit:phi0690.phi001:1.57	hinc alta sub rupe canet frondator ad auras;
urn:cts:latinLit:phi0690.phi001:1.58	nec tamen interea raucae, tua cura, palumbes,
urn:cts:latinLit:phi0690.phi001:1.59	nec gemere aëria cessabit turtur ab ulmo.
urn:cts:latinLit:phi0690.phi001:1.60	Ante leves ergo pascentur in aequore cervi,
urn:cts:latinLit:phi0690.phi001:1.61	et freta destituent nudos in litore pisces,
urn:cts:latinLit:phi0690.phi001:1.62	ante pererratis amborum finibus exsul
urn:cts:latinLit:phi0690.phi001:1.63	aut Ararim Parthus bibet, aut Germania Tigrim,
urn:cts:latinLit:phi0690.phi001:1.64	quam nostro illius labatur pectore voltus.
urn:cts:latinLit:phi0690.phi001:1.65	At nos hinc alii sitientis ibimus Afros,
urn:cts:latinLit:phi0690.phi001:1.66	pars Scythiam et rapidum Cretae veniemus Oaxen,
urn:cts:latinLit:phi0690.phi001:1.67	et penitus toto divisos orbe Britannos.
urn:cts:latinLit:phi0690.phi001:1.68	En umquam patrios longo post tempore finis,
urn:cts:latinLit:phi0690.phi001:1.69	pauperis et tuguri congestum caespite culmen,
urn:cts:latinLit:phi0690.phi001:1.70	post aliquot mea regna videns mirabor aristas?
urn:cts:latinLit:phi0690.phi001:1.71	Impius haec tam culta novalia miles habebit,
urn:cts:latinLit:phi0690.phi001:1.72	barbarus has segetes? En, quo discordia civis
urn:cts:latinLit:phi0690.phi001:1.73	produxit miseros! His nos consevimus agros!
urn:cts:latinLit:phi0690.phi001:1.74	Insere nunc, Meliboee, piros, pone ordine vitis.
urn:cts:latinLit:phi0690.phi001:1.75	Ite meae, felix quondam pecus, ite capellae.
urn:cts:latinLit:phi0690.phi001:1.76	Non ego vos posthac, viridi proiectus in antro,
urn:cts:latinLit:phi0690.phi001:1.77	dumosa pendere procul de rupe videbo;
urn:cts:latinLit:phi0690.phi001:1.78	carmina nulla canam; non, me pascente, capellae,
urn:cts:latinLit:phi0690.phi001:1.79	florentem cytisum et salices carpetis amaras.
