urn:cts:latinLit:phi0690.phi002:1.1	Quid faciat laetas segetes, quo sidere terram
urn:cts:latinLit:phi0690.phi002:1.2	vertere, Maecenas, ulmisque adiungere vitis
urn:cts:latinLit:phi0690.phi002:1.3	conveniat, quae cura boum, qui cultus habendo
urn:cts:latinLit:phi0690.phi002:1.4	sit pecori, apibus quanta experientia parcis,
urn:cts:latinLit:phi0690.phi002:1.5	hinc canere incipiam. Vos, o clarissima mundi
urn:cts:latinLit:phi0690.phi002:1.6	lumina, labentem caelo quae ducitis annum,
urn:cts:latinLit:phi0690.phi002:1.7	Liber et alma Ceres, vestro si munere tellus
urn:cts:latinLit:phi0690.phi002:1.8	Chaoniam pingui glandem mutavit arista,
urn:cts:latinLit:phi0690.phi002:1.9	poculaque inventis Acheloia miscuit uvis;
urn:cts:latinLit:phi0690.phi002:1.10	et vos, agrestum praesentia numina, Fauni,
urn:cts:latinLit:phi0690.phi002:1.11	ferte simul Faunique pedem Dryadesque puellae:
urn:cts:latinLit:phi0690.phi002:1.12	Munera vestra cano. Tuque o, cui prima frementem
urn:cts:latinLit:phi0690.phi002:1.13	fudit equum magno tellus percussa tridenti,
urn:cts:latinLit:phi0690.phi002:1.14	Neptune; et cultor nemorum, cui pinguia Ceae
urn:cts:latinLit:phi0690.phi002:1.15	ter centum nivei tondent dumeta iuvenci;
urn:cts:latinLit:phi0690.phi002:1.16	ipse nemus linquens patrium saltusque Lycaei,
urn:cts:latinLit:phi0690.phi002:1.17	Pan, ovium custos, tua si tibi Maenala curae,
urn:cts:latinLit:phi0690.phi002:1.18	adsis, o Tegeaee, favens, oleaeque Minerva
urn:cts:latinLit:phi0690.phi002:1.19	inventrix, uncique puer monstrator aratri,
urn:cts:latinLit:phi0690.phi002:1.20	et teneram ab radice ferens, Silvane, cupressum,
urn:cts:latinLit:phi0690.phi002:1.21	dique deaeque omnes, studium quibus arva tueri,
urn:cts:latinLit:phi0690.phi002:1.22	quique novas alitis non ullo semine fruges,
urn:cts:latinLit:phi0690.phi002:1.23	quique satis largum caelo demittitis imbrem;
urn:cts:latinLit:phi0690.phi002:1.24	tuque adeo, quem mox quae sint habitura deorum
urn:cts:latinLit:phi0690.phi002:1.25	concilia, incertum est, urbisne invisere, Caesar,
urn:cts:latinLit:phi0690.phi002:1.26	terrarumque velis curam et te maximus orbis
urn:cts:latinLit:phi0690.phi002:1.27	auctorem frugum tempestatumque potentem
urn:cts:latinLit:phi0690.phi002:1.28	accipiat, cingens materna tempora myrto,
urn:cts:latinLit:phi0690.phi002:1.29	an deus inmensi venias maris ac tua nautae
urn:cts:latinLit:phi0690.phi002:1.30	numina sola colant, tibi serviat ultima Thule
urn:cts:latinLit:phi0690.phi002:1.31	teque sibi generum Tethys emat omnibus undis,
urn:cts:latinLit:phi0690.phi002:1.32	anne novum tardis sidus te mensibus addas,
urn:cts:latinLit:phi0690.phi002:1.33	qua locus Erigonen inter Chelasque sequentis
urn:cts:latinLit:phi0690.phi002:1.34	panditur—ipse tibi iam bracchia contrahit ardens
urn:cts:latinLit:phi0690.phi002:1.35	Scorpius et caeli iusta plus parte reliquit—
urn:cts:latinLit:phi0690.phi002:1.36	quidquid eris,—nam te nec sperant Tartara regem
urn:cts:latinLit:phi0690.phi002:1.37	nec tibi regnandi veniat tam dira cupido,
urn:cts:latinLit:phi0690.phi002:1.38	quamvis Elysios miretur Graecia campos
urn:cts:latinLit:phi0690.phi002:1.39	nec repetita sequi curet Proserpina matrem—
urn:cts:latinLit:phi0690.phi002:1.40	da facilem cursum atque audacibus adnue coeptis
urn:cts:latinLit:phi0690.phi002:1.41	ignarosque viae mecum miseratus agrestis
urn:cts:latinLit:phi0690.phi002:1.42	ingredere et votis iam nunc adsuesce vocari.
urn:cts:latinLit:phi0690.phi002:1.43	Vere novo, gelidus canis cum montibus humor
urn:cts:latinLit:phi0690.phi002:1.44	liquitur et Zephyro putris se glaeba resolvit,
urn:cts:latinLit:phi0690.phi002:1.45	depresso incipiat iam tum mihi taurus aratro
urn:cts:latinLit:phi0690.phi002:1.46	ingemere et sulco attritus splendescere vomer.
urn:cts:latinLit:phi0690.phi002:1.47	Illa seges demum votis respondet avari
urn:cts:latinLit:phi0690.phi002:1.48	agricolae, bis quae solem, bis frigora sensit;
urn:cts:latinLit:phi0690.phi002:1.49	illius inmensae ruperunt horrea messes.
urn:cts:latinLit:phi0690.phi002:1.50	At prius ignotum ferro quam scindimus aequor,
urn:cts:latinLit:phi0690.phi002:1.51	ventos et varium caeli praediscere morem
urn:cts:latinLit:phi0690.phi002:1.52	cura sit ac patrios cultusque habitusque locorum
urn:cts:latinLit:phi0690.phi002:1.53	et quid quaeque ferat regio et quid quaeque recuset.
urn:cts:latinLit:phi0690.phi002:1.54	Hic segetes, illic veniunt felicius uvae,
